logical 0.00
arith 0.33
datamov 0.44
./split-debug-filename.c 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./debug-info-gline-tables-only2.c 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./string-literal.c 104
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.02
bit 0.00
logical 0.00
arith 0.53
datamov 0.45
./debug-info-scope.c 220
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./ms_struct-bitfield-init.c 59
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.17
bit 0.00
logical 0.00
arith 0.37
datamov 0.46
./2010-02-15-DbgStaticVar.c 26
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.15
bit 0.00
logical 0.00
arith 0.35
datamov 0.50
./split-stacks.c 15
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.27
bit 0.00
logical 0.00
arith 0.27
datamov 0.47
./char-literal.c 50
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.04
bit 0.02
logical 0.00
arith 0.07
datamov 0.87
./thinlto-split-dwarf.c 7
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.29
bit 0.00
logical 0.00
arith 0.14
datamov 0.57
./no-ident-version.c 7
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.29
bit 0.00
logical 0.00
arith 0.14
datamov 0.57
./string-literal-short-wstring.c 30
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.07
bit 0.00
logical 0.00
arith 0.36
datamov 0.57
./debug-info-version.c 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./denormalfpmode.c 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./thin_link_bitcode.c 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./dwarf-version.c 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./noexceptionsfpmath.c 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./2007-06-15-AnnotateAttribute.c 30
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.13
bit 0.00
logical 0.00
arith 0.30
datamov 0.57
./asan-globals-odr.cpp 11
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.18
bit 0.00
logical 0.00
arith 0.36
datamov 0.45
./mcount.c 25
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.32
bit 0.00
logical 0.00
arith 0.16
datamov 0.52
./clear_cache.c 19
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.16
bit 0.00
logical 0.00
arith 0.37
datamov 0.47
./nousejumptable.c 10
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./fold-const-declref.c 20
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.16
bit 0.00
logical 0.00
arith 0.16
datamov 0.68
./annotations-field.c 17
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.12
bit 0.00
logical 0.00
arith 0.24
datamov 0.65
./eh-aggregated-inits.cpp 147
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.30
datamov 0.50
./ptr-to-member-function.cpp 192
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.13
bit 0.02
logical 0.00
arith 0.25
datamov 0.60
./array-value-initialize.cpp 79
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.15
bit 0.00
logical 0.00
arith 0.28
datamov 0.57
./nested-base-member-access.cpp 211
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.16
bit 0.00
logical 0.00
arith 0.33
datamov 0.52
./constructor-conversion.cpp 212
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.14
bit 0.00
logical 0.00
arith 0.27
datamov 0.59
./predefined-expr-sizeof.cpp 50
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.21
bit 0.00
logical 0.00
arith 0.30
datamov 0.49
./multi-dim-operator-new.cpp 2386
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.19
bit 0.00
logical 0.00
arith 0.30
datamov 0.51
./default-constructor-for-members.cpp 35
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.40
datamov 0.40
./debug-info-method2.cpp 23
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.17
bit 0.00
logical 0.00
arith 0.35
datamov 0.48
./auto-variable-template.cpp 20
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.20
bit 0.00
logical 0.00
arith 0.40
datamov 0.40
./vararg-conversion-ctor.cpp 121
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.14
bit 0.00
logical 0.00
arith 0.28
datamov 0.58
./constructor-for-array-members.cpp 2949
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.13
bit 0.00
logical 0.00
arith 0.39
datamov 0.48
./eh-aggregated-inits-unwind.cpp 116
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.17
bit 0.00
logical 0.00
arith 0.28
datamov 0.55
./sanitize-dtor-fn-attribute.cpp 39
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.26
bit 0.00
logical 0.00
arith 0.28
datamov 0.46
./static-init-1.cpp 7
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.29
bit 0.00
logical 0.00
arith 0.14
datamov 0.57
./debug-info-template-align.cpp 13
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.17
bit 0.00
logical 0.00
arith 0.17
datamov 0.67
./2004-03-08-ReinterpretCastCopy.cpp 76
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.13
bit 0.01
logical 0.00
arith 0.27
datamov 0.59
./2010-05-12-PtrToMember-Dbg.cpp 14
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.14
bit 0.00
logical 0.00
arith 0.29
datamov 0.57
./copy-constructor-elim.cpp 212
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.16
bit 0.00
logical 0.00
arith 0.32
datamov 0.52
./constructor-default-arg.cpp 124
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.15
bit 0.00
logical 0.00
arith 0.23
datamov 0.62
./copy-assign-synthesis.cpp 365
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.16
bit 0.00
logical 0.00
arith 0.35
datamov 0.49
./debug-info-fwd-ref.cpp 44
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.14
bit 0.00
logical 0.00
arith 0.20
datamov 0.66
./2007-01-02-UnboundedArray.cpp 20
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.15
bit 0.00
logical 0.00
arith 0.25
datamov 0.60
./cxx11-trivial-initializer-struct.cpp 17
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.12
bit 0.00
logical 0.00
arith 0.53
datamov 0.35
./copy-assign-synthesis-1.cpp 1794
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.13
bit 0.00
logical 0.00
arith 0.31
datamov 0.56
./ptr-to-datamember.cpp 406
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.11
bit 0.00
logical 0.00
arith 0.26
datamov 0.63
./destructor-calls.cpp 711
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.15
bit 0.00
logical 0.00
arith 0.41
datamov 0.45
./convert-to-fptr.cpp 76
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.16
bit 0.00
logical 0.00
arith 0.34
datamov 0.50
./constructor-template.cpp 96
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.26
bit 0.00
logical 0.00
arith 0.28
datamov 0.46
./eh-aggregate-copy-destroy.cpp 122
segreg 0.00
flgctrl 0.00
inout 0.00
string 0.00
break 0.00
cond 0.00
shftrot 0.00
decimal 0.00
binary 0.00
conver 0.00
stack 0.00
control 0.00
branch 0.16
bit 0.00
logical 0.00
arith 0.28
