segreg flgctrl inout string break cond shftrot decimal binary conver stack control branch bit logical arith datamov
0 0 0 1 0 0 0 0 0 0 48 21 17 0 30 114 334
0 0 0 1 0 0 0 0 0 0 4 0 7 0 1 10 34
0 0 0 1 0 0 0 0 0 0 11 0 3 0 18 7 48
0 0 0 1 0 0 0 0 0 0 6 0 1 0 0 3 6
0 0 0 1 0 0 0 0 0 0 8 0 20 0 2 35 93
0 0 0 1 0 0 0 0 0 0 4 0 5 0 0 5 10
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 6 13
0 0 0 1 0 0 0 0 0 0 12 1 2 0 0 20 56
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 3 4
0 0 0 1 0 0 0 0 0 0 4 0 3 0 0 5 8
0 0 0 1 0 0 0 0 0 0 10 4 1 0 0 5 33
0 0 0 1 0 0 0 0 0 0 9 1 2 0 1 9 42
0 0 0 1 0 0 0 0 0 0 6 0 1 0 0 3 7
0 0 0 1 0 0 0 0 0 0 6 0 1 0 0 16 30
0 0 0 1 0 0 0 0 0 0 4 0 1 0 1 7 22
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 3 5
0 0 0 1 0 0 0 0 0 0 5 0 1 0 7 6 25
0 0 0 1 0 0 0 0 0 0 6 0 1 0 2 5 15
0 0 0 1 0 0 0 0 0 0 8 0 10 0 0 5 16
0 0 0 1 0 0 0 0 0 0 6 1 1 0 1 2 10
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 5 13
0 0 0 1 0 0 0 0 0 0 6 0 2 0 0 3 10
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 6 1 22 0 7 24 91
0 0 0 1 0 0 0 0 0 0 11 0 15 0 11 57 145
0 0 0 1 0 0 0 0 0 0 5 0 1 0 1 16 7
0 0 0 1 0 0 0 0 0 0 5 0 1 0 1 3 16
0 0 0 0 0 0 0 0 0 0 859 0 429 0 432 2149 6024
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 3 9
0 0 0 1 0 0 0 0 0 0 7 1 1 0 1 3 13
0 0 0 1 0 0 0 0 0 0 5 3 1 0 0 7 10
0 0 0 1 0 0 0 0 0 0 4 0 6 0 0 11 16
0 0 0 1 0 0 0 0 0 0 8 0 1 0 4 16 58
0 0 0 1 0 0 0 0 0 0 6 0 1 0 0 3 7
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 4 0 1 0 1 3 26
0 0 0 1 0 0 0 0 0 0 4 0 3 0 0 2 6
0 0 0 1 0 0 0 0 0 0 6 0 7 0 2 12 33
0 0 0 1 0 0 0 0 0 0 4 0 1 0 1 2 8
0 0 0 1 0 0 0 0 0 0 4 0 1 0 2 2 4
0 0 0 1 0 0 0 0 0 0 5 0 2 0 1 6 19
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 2 4
0 0 0 1 0 0 0 0 0 0 8 0 1 0 2 4 13
0 0 0 1 0 0 0 0 0 0 452 0 1 0 56 173 899
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 2 3
0 0 0 1 0 0 0 0 0 0 8 0 1 0 3 3 11
0 0 0 1 0 0 0 0 0 0 5 1 2 0 2 5 34
0 0 0 1 0 0 0 0 0 0 4 0 1 0 0 32 53
0 0 0 1 0 0 0 0 0 0 7 1 1 0 1 6 26
0 0 0 1 0 0 0 0 0 0 6 2 5 0 2 6 20
0 0 0 1 0 0 0 0 0 0 8 1 2 0 0 6 17
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 7 21
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 3 5
0 0 0 1 0 0 0 0 0 0 6 0 1 0 1 3 13
0 0 0 1 0 0 0 0 0 0 6 0 1 0 2 3 11
0 0 0 1 0 0 0 0 0 0 6 0 1 0 0 3 10
0 0 0 1 0 0 4 0 0 0 4 0 1 0 16 38 138
0 0 0 1 0 0 0 0 0 0 6 2 1 0 3 6 19
0 0 0 1 0 0 0 0 0 0 33 29 30 0 27 60 119
0 0 0 1 0 0 0 0 0 0 7 1 6 0 2 8 21
0 0 0 1 0 0 0 0 0 0 4 0 1 0 1 4 34
0 0 0 1 0 0 0 0 0 0 8 0 1 0 0 3 24
0 0 0 1 0 0 0 0 0 0 5 1 1 0 2 4 9
0 0 0 1 0 0 0 0 0 0 4 0 19 0 1 10 45
0 0 0 1 0 0 0 0 0 0 8 3 1 0 0 28 121
0 0 0 1 0 0 0 0 0 0 14 0 6 0 3 10 49
0 0 0 1 0 0 0 0 0 0 14 3 1 0 1 4 78
