control branch bit logical arith datamov
0 122 0 80 80 1220 
0 42 8 15 186 144 
0 3 0 2 5 21 
0 5 5 0 17 154 
0 4 0 1 3 17 
0 998 0 1 198 9789 
0 512 292 294 2238 1425 
0 14 1 0 0 174 
0 1 0 0 0 0 
0 675 0 0 1544 8192 
0 4 0 2 2 34 
1 30 0 11 84 220 
0 3 0 0 4 30 
0 3 0 0 4 30 
0 4 4 4 6 24 
0 2 4 4 8 13 
0 5 2 0 0 56 
0 2 0 3 6 70 
0 2 4 4 8 13 
1 11 0 0 0 72 
0 5 1 1 0 64 
0 39 2 25 88 517 
0 4 2 0 0 74 
0 10 0 6 24 78 
1 8 4 7 6 180 
0 9 3 0 62 166 
0 88 73 106 624 413 
0 1 0 0 0 0 
0 2 0 1 0 7 
0 403 0 1000 0 6216 
0 150 13 61 2209 263 
0 4 0 0 3 40 
0 10 7 2 0 174 
0 3 2 0 0 55 
0 6 8 0 36 140 
