control branch bit logical arith datamov
0 2 2 0 37 101 
0 791 0 0 1632 5514 
0 2 1 5 0 49 
0 0 0 0 0 0 
0 1 0 0 0 0 
0 3 2 8 10 101 
0 8 1 0 16 69 
0 0 1 0 0 3197 
0 6 0 0 0 46 
0 1 1 4 0 120 
0 36 2 0 8 286 
0 0 0 3 0 17 
0 1 0 1 0 19 
0 2 0 0 0 8 
0 4 0 3 6 33 
0 5 0 5 0 42 
0 11 4 6 18 27 
0 6 2 6 18 110 
0 4 2 0 1 46 
5 12 0 0 10 134 
0 5 0 3 2 36 
0 2 8 0 13 40 
0 8 0 8 0 106 
0 14 180 38 117 192 
0 4 1 0 8 2079 
0 1 0 4 1 24 
1 0 4 2 4 14 
0 158 0 24 48 1494 
0 302 72 336 96 3366 
0 158 0 168 48 1506 
0 5 2 0 7 32 
0 5 2 0 7 32 
0 4 0 1 0 32 
0 2 0 1 0 30 
0 9 10 8 182 675 
0 1 0 0 0 0 
0 0 0 0 0 70 
0 1 0 0 0 12 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 2 0 4 0 39 
0 0 0 1 0 20 
0 13 16 8 16 37 
0 4 0 0 0 24 
0 0 0 0 0 0 
0 4 4 0 0 88 
0 4 0 2 0 40 
0 44 25 11 151 71 
0 4 0 0 0 26 
0 4 0 1 0 21 
0 8 1 26 85 252 
0 6 0 2 8 40 
0 1 0 3 0 12 
0 1 0 0 0 10 
0 7 2 3 0 88 
0 6 4 3 6 106 
0 6 3 14 21 247 
0 4 0 0 1 26 
0 8 2 1 0 135 
0 3 0 1 0 20 
0 5 0 0 0 26 
0 40 8 14 6 504 
0 3 0 0 0 33 
0 3 0 0 0 38 
0 76 83 62 356 1738 
0 14 8 12 0 222 
0 5 1 0 0 63 
0 1 0 0 0 24 
0 2 0 2 0 28 
0 2 0 4 0 16 
0 13 2 35 42 146 
0 447 0 0 0 6265 
0 1 0 0 0 0 
0 1 0 0 0 0 
0 2 0 0 2 11 
